"No.","Time","Source","Destination","Protocol","Length","Info"
"881","2.029680","150.100.0.2","150.100.15.4","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"882","2.029790","150.100.15.4","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"883","2.032104","150.100.12.3","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"884","2.032104","150.100.0.2","150.100.12.3","TCP","158","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"885","2.032118","150.100.0.2","150.100.12.3","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"886","2.032186","150.100.12.3","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"887","2.045424","150.100.15.8","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"888","2.045424","150.100.0.2","150.100.15.8","TCP","64","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"889","2.045430","150.100.0.2","150.100.15.8","TCP","158","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"890","2.045452","150.100.0.2","150.100.15.8","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"891","2.045551","150.100.15.8","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"892","2.060780","150.100.12.12","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=301 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"893","2.060780","150.100.0.2","150.100.12.12","TCP","158","57300  >  49153 [ACK] Seq=601 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"894","2.060794","150.100.0.2","150.100.12.12","TCP","158","57300  >  49153 [ACK] Seq=701 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"895","2.060862","150.100.12.12","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=401 Ack=801 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"896","2.099749","150.100.0.2","150.100.15.6","TCP","64","57300  >  49153 [ACK] Seq=1201 Ack=601 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"897","2.103335","150.100.12.130","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=301 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"898","2.103335","150.100.0.2","150.100.12.130","TCP","158","57300  >  49153 [ACK] Seq=601 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"899","2.103348","150.100.0.2","150.100.12.130","TCP","158","57300  >  49153 [ACK] Seq=701 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"900","2.103428","150.100.12.130","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=401 Ack=801 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"901","2.109023","150.100.15.11","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=401 Ack=801 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"902","2.109023","150.100.0.2","150.100.15.11","TCP","158","57300  >  49153 [ACK] Seq=801 Ack=501 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"903","2.109037","150.100.0.2","150.100.15.11","TCP","158","57300  >  49153 [ACK] Seq=901 Ack=501 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"904","2.109146","150.100.15.11","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"905","2.110161","150.100.15.8","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"906","2.110161","150.100.0.2","150.100.15.8","TCP","158","57300  >  49153 [ACK] Seq=1201 Ack=701 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"907","2.110174","150.100.0.2","150.100.15.8","TCP","158","57300  >  49153 [ACK] Seq=1301 Ack=701 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"908","2.110282","150.100.15.8","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=701 Ack=1401 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"909","2.115248","150.100.15.7","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"910","2.115248","150.100.0.2","150.100.15.7","TCP","158","57300  >  49153 [ACK] Seq=1201 Ack=701 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"911","2.115261","150.100.0.2","150.100.15.7","TCP","158","57300  >  49153 [ACK] Seq=1301 Ack=701 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"912","2.115363","150.100.15.7","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=701 Ack=1401 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"913","2.119524","150.100.12.7","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=701 Ack=1401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"914","2.119524","150.100.0.2","150.100.12.7","TCP","158","57300  >  49153 [ACK] Seq=1401 Ack=801 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"915","2.119537","150.100.0.2","150.100.12.7","TCP","158","57300  >  49153 [ACK] Seq=1501 Ack=801 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"916","2.119606","150.100.12.7","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=801 Ack=1601 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"917","2.135034","150.100.15.10","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"918","2.135034","150.100.0.2","150.100.15.10","TCP","158","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"919","2.135047","150.100.0.2","150.100.15.10","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"920","2.135147","150.100.15.10","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"921","2.153816","150.100.0.2","150.100.12.8","TCP","64","57300  >  49153 [ACK] Seq=1001 Ack=501 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"922","2.164598","150.100.12.137","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=301 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"923","2.164598","150.100.0.2","150.100.12.137","TCP","158","57300  >  49153 [ACK] Seq=601 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"924","2.164612","150.100.0.2","150.100.12.137","TCP","158","57300  >  49153 [ACK] Seq=701 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"925","2.164690","150.100.12.137","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=401 Ack=801 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"926","2.165842","150.100.12.10","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=701 Ack=1401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"927","2.165842","150.100.0.2","150.100.12.10","TCP","158","57300  >  49153 [ACK] Seq=1401 Ack=801 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"928","2.165856","150.100.0.2","150.100.12.10","TCP","158","57300  >  49153 [ACK] Seq=1501 Ack=801 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"929","2.165929","150.100.12.10","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=801 Ack=1601 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"930","2.173879","150.100.12.4","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"931","2.173879","150.100.0.2","150.100.12.4","TCP","64","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"932","2.173885","150.100.0.2","150.100.12.4","TCP","158","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"933","2.173905","150.100.0.2","150.100.12.4","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"934","2.173974","150.100.12.4","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"935","2.174012","150.100.0.2","150.100.12.133","TCP","64","57300  >  49153 [ACK] Seq=1001 Ack=501 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"936","2.174225","150.100.0.2","150.100.15.5","TCP","64","57300  >  49153 [ACK] Seq=1001 Ack=501 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"937","2.196002","150.100.12.133","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"938","2.196002","150.100.0.2","150.100.12.133","TCP","158","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"939","2.196015","150.100.0.2","150.100.12.133","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"940","2.196086","150.100.12.133","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"941","2.197097","150.100.0.2","150.100.12.131","TCP","64","57300  >  49153 [ACK] Seq=801 Ack=401 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"942","2.216584","150.100.0.2","150.100.12.5","TCP","64","57300  >  49153 [ACK] Seq=1001 Ack=501 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"943","2.227122","150.100.15.4","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"944","2.227122","150.100.0.2","150.100.15.4","TCP","64","57300  >  49153 [ACK] Seq=1201 Ack=701 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"945","2.227128","150.100.0.2","150.100.15.4","TCP","158","57300  >  49153 [ACK] Seq=1201 Ack=701 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"946","2.227148","150.100.0.2","150.100.15.4","TCP","158","57300  >  49153 [ACK] Seq=1301 Ack=701 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"947","2.227249","150.100.15.4","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=701 Ack=1401 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"948","2.232104","150.100.0.2","150.100.12.3","TCP","64","57300  >  49153 [ACK] Seq=1201 Ack=601 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"949","2.257811","150.100.12.6","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=301 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"950","2.257811","150.100.0.2","150.100.12.6","TCP","158","57300  >  49153 [ACK] Seq=601 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
